kode_pintu	tinggi_air	kode_kota	banjir
12	1870	2	1
8	2500	0	1
14	-580	2	1
13	1890	2	1
15	2930	0	1
2	3440	1	1
17	2010	4	1
18	3000	3	1
19	2660	3	1
16	1760	1	1
11	6300	0	1
11	6300	0	1
6	0	2	1
20	2370	2	1
7	1410	0	1
8	2870	0	1
13	1980	2	1
15	3000	0	1
0	420	0	1
18	2970	3	1
9	8820	0	1
10	310	3	1
12	1880	2	1
6	0	2	1
14	-1470	2	1
20	2320	2	1
7	1400	0	1
2	3440	1	1
17	1980	4	1
8	2890	0	1
19	2660	3	1
13	1940	2	1
15	3150	0	1
16	1670	1	1
0	540	0	1
18	3030	3	1
10	320	3	1
11	6540	0	1
12	1910	2	1
14	-830	2	1
2	3440	1	1
17	2020	4	1
7	1390	0	1
19	2670	3	1
16	1600	1	1
11	6540	0	1
11	6540	0	1
6	0	2	1
5	3400	0	1
5	3400	0	1
5	3400	0	1
20	2350	2	1
8	3130	0	1
9	8800	0	1
13	1960	2	1
15	3230	0	1
18	3020	3	1
15	3270	0	1
0	500	0	1
16	1520	1	1
6	0	2	1
9	8820	0	1
10	310	3	1
11	6590	0	1
12	1920	2	1
20	2340	2	1
14	-1310	2	1
7	1300	0	1
2	3440	1	1
17	2070	4	1
8	3840	0	1
19	2670	3	1
13	1920	2	1
18	3020	3	1
7	1300	0	1
0	550	0	1
6	0	2	1
20	2340	2	1
9	8780	0	1
10	300	3	1
12	1970	2	1
8	4100	0	1
14	-1480	2	1
13	1910	2	1
15	3350	0	1
2	3440	1	1
17	2110	4	1
16	1430	1	1
19	2680	3	1
18	3020	3	1
7	1160	0	1
15	3410	0	1
6	0	2	1
20	2340	2	1
8	4290	0	1
13	1860	2	1
16	1380	1	1
18	3020	3	1
3	1400	1	1
0	530	0	1
3	1400	1	1
3	1400	1	1
9	8770	0	1
10	280	3	1
12	2010	2	1
3	1400	1	1
14	-1000	2	1
3	1400	1	1
2	3440	1	1
17	2170	4	1
6	0	2	1
19	2690	3	1
5	3400	0	1
5	3400	0	1
5	3400	0	1
0	570	0	1
4	2300	0	1
4	2300	0	1
9	8760	0	1
10	260	3	1
12	2020	2	1
4	2300	0	1
14	-1010	2	1
7	1080	0	1
8	3970	0	1
2	3440	1	1
17	2220	4	1
15	3500	0	1
19	2700	3	1
16	1240	1	1
0	650	0	1
18	3000	3	1
20	2310	2	1
9	8760	0	1
10	250	3	1
12	2020	2	1
6	0	2	1
14	-1470	2	1
7	1040	0	1
8	4160	0	1
2	3440	1	1
17	2250	4	1
15	3550	0	1
19	2710	3	1
16	1240	1	1
18	2900	3	1
